sigmoid_colon	stomach
ENSG00000150527	0.37	1.10
ENSG00000150540	1.76	0.36
ENSG00000150551	0.09	0.00
ENSG00000150556	0.00	0.33
ENSG00000150593	3.95	0.88
ENSG00000150594	0.11	0.00
ENSG00000150625	3.05	0.26
ENSG00000150627	0.23	0.07
ENSG00000150628	0.01	0.00
ENSG00000150630	0.15	0.01
ENSG00000150636	0.34	0.55
ENSG00000150637	0.01	0.02
ENSG00000150656	0.00	0.00
ENSG00000150667	0.04	0.02
ENSG00000150672	0.59	0.04
ENSG00000150676	0.00	0.01
ENSG00000150681	0.12	0.08
ENSG00000150687	3.07	1.66
ENSG00000150712	1.04	1.02
ENSG00000150722	0.00	0.00
ENSG00000150750	0.00	0.01
ENSG00000150753	3.43	2.68
ENSG00000150756	0.48	0.14
ENSG00000150760	1.41	1.03
ENSG00000150764	2.65	2.87
ENSG00000150768	0.98	0.26
ENSG00000150773	0.11	0.28
ENSG00000150776	0.41	0.53
ENSG00000150779	1.75	0.79
ENSG00000150782	0.33	0.49
ENSG00000150783	0.03	0.00
ENSG00000150787	1.09	1.29
ENSG00000150867	0.65	0.41
ENSG00000150873	0.01	0.00
ENSG00000150893	0.24	0.05
ENSG00000150907	0.92	0.29
ENSG00000150938	1.62	1.23
ENSG00000150961	1.09	0.58
ENSG00000150967	0.07	0.67
ENSG00000150977	0.15	0.10
ENSG00000150990	0.14	0.39
ENSG00000150991	39.77	32.14
ENSG00000150995	1.48	1.88
ENSG00000151005	0.00	0.00
ENSG00000151006	0.03	0.03
ENSG00000151012	0.00	0.06
ENSG00000151014	0.08	0.04
ENSG00000151023	0.00	0.11
ENSG00000151025	0.03	0.00
ENSG00000151033	0.00	0.00
ENSG00000151062	0.09	0.00
ENSG00000151065	0.95	0.86
ENSG00000151067	2.08	1.25
ENSG00000151079	0.03	0.00
ENSG00000151090	0.99	0.56
ENSG00000151092	0.75	0.87
ENSG00000151093	0.22	0.18
ENSG00000151116	1.13	0.91
ENSG00000151117	0.13	0.05
ENSG00000151131	0.34	0.03
ENSG00000151135	1.45	2.40
ENSG00000151136	0.02	0.02
ENSG00000151148	1.42	2.31
ENSG00000151150	2.16	0.78
ENSG00000151151	0.15	0.13
ENSG00000151164	0.02	0.00
ENSG00000151176	0.46	0.06
ENSG00000151208	1.16	1.06
ENSG00000151224	0.01	0.00
ENSG00000151229	0.89	0.10
ENSG00000151233	0.34	0.20
ENSG00000151239	2.93	1.98
ENSG00000151240	1.19	0.66
ENSG00000151247	2.29	1.53
ENSG00000151276	1.17	1.88
ENSG00000151287	0.38	0.20
ENSG00000151292	2.03	0.75
ENSG00000151304	0.51	0.43
ENSG00000151320	1.17	2.96
ENSG00000151322	0.09	0.00
ENSG00000151327	1.24	0.82
ENSG00000151332	0.74	0.67
ENSG00000151338	0.34	1.01
ENSG00000151348	1.92	1.10
ENSG00000151353	0.75	0.29
ENSG00000151360	0.00	0.00
ENSG00000151364	0.07	1.40
ENSG00000151365	0.05	0.00
ENSG00000151366	3.07	1.20
ENSG00000151376	0.94	1.85
ENSG00000151379	0.00	0.00
ENSG00000151388	0.15	0.05
ENSG00000151413	0.40	0.13
ENSG00000151414	8.78	1.90
ENSG00000151418	0.00	0.00
ENSG00000151422	0.95	4.91
ENSG00000151445	0.68	0.68
ENSG00000151458	0.43	0.59
ENSG00000151461	0.83	0.43
ENSG00000151465	1.74	0.51
ENSG00000151466	0.41	0.63
ENSG00000151468	0.16	0.04
ENSG00000151470	0.30	0.11
ENSG00000151474	0.77	0.36
ENSG00000151475	0.00	0.00
ENSG00000151490	0.06	0.00
ENSG00000151491	3.61	6.51
ENSG00000151498	0.72	1.00
ENSG00000151500	1.97	1.27
ENSG00000151502	1.00	0.60
ENSG00000151503	0.26	0.43
ENSG00000151532	1.12	1.26
ENSG00000151552	0.42	0.01
ENSG00000151553	1.04	5.93
ENSG00000151572	0.06	0.00
ENSG00000151575	0.30	0.12
ENSG00000151576	0.49	0.66
ENSG00000151577	0.00	0.00
ENSG00000151611	0.06	0.09
ENSG00000151612	0.51	0.39
ENSG00000151615	0.00	0.00
ENSG00000151617	0.06	0.44
ENSG00000151623	0.75	0.73
ENSG00000151632	0.27	1.67
ENSG00000151640	0.01	0.00
ENSG00000151650	0.03	0.01
ENSG00000151651	0.01	0.10
ENSG00000151655	0.00	0.00
ENSG00000151657	0.26	0.13
ENSG00000151665	0.37	0.20
ENSG00000151687	0.73	0.10
ENSG00000151689	0.46	0.62
ENSG00000151690	1.79	1.25
ENSG00000151692	0.34	1.60
ENSG00000151693	0.61	0.73
ENSG00000151694	0.35	0.22
ENSG00000151702	0.40	0.89
ENSG00000151704	0.00	0.00
ENSG00000151715	0.04	0.08
ENSG00000151718	0.90	0.70
ENSG00000151725	0.04	0.13
ENSG00000151726	2.94	26.28
ENSG00000151729	3.58	1.76
ENSG00000151743	0.33	2.95
ENSG00000151746	0.38	0.06
ENSG00000151748	0.96	0.25
ENSG00000151773	0.09	1.00
ENSG00000151778	0.27	0.07
ENSG00000151779	1.41	1.78
ENSG00000151789	0.13	0.02
ENSG00000151790	0.01	0.00
ENSG00000151806	0.40	0.51
ENSG00000151812	0.00	0.00
ENSG00000151834	0.26	0.04
ENSG00000151835	0.98	0.51
ENSG00000151838	0.00	0.00
ENSG00000151846	0.00	0.00
ENSG00000151849	0.24	0.34
ENSG00000151876	0.28	0.47
ENSG00000151881	0.42	1.16
ENSG00000151882	0.02	0.01
ENSG00000151883	0.27	0.71
ENSG00000151892	1.09	0.15
ENSG00000151893	1.43	0.39
ENSG00000151914	17.18	7.11
ENSG00000151917	0.03	0.00
ENSG00000151923	2.29	1.12
ENSG00000151929	1.01	2.54
ENSG00000151948	0.01	0.00
ENSG00000151952	0.00	0.00
ENSG00000151962	0.00	0.00
ENSG00000151967	0.81	0.47
ENSG00000152034	0.01	0.00
ENSG00000152049	0.16	0.09
ENSG00000152056	0.00	0.26
ENSG00000152061	1.03	1.40
ENSG00000152076	0.09	0.02
ENSG00000152078	0.50	0.45
ENSG00000152082	4.61	4.90
ENSG00000152086	0.00	0.00
ENSG00000152092	0.04	0.00
ENSG00000152093	0.00	0.00
ENSG00000152102	3.66	2.32
ENSG00000152104	0.98	1.00
ENSG00000152127	0.81	2.02
ENSG00000152128	0.04	0.30
ENSG00000152133	0.30	0.01
ENSG00000152137	13.67	5.69
ENSG00000152147	0.31	0.00
ENSG00000152154	0.03	0.10
ENSG00000152192	0.00	0.00
ENSG00000152193	0.39	0.38
ENSG00000152207	0.04	0.00
ENSG00000152208	0.01	0.00
ENSG00000152213	0.05	0.00
ENSG00000152214	0.01	0.00
ENSG00000152217	1.89	1.39
ENSG00000152219	0.88	0.31
ENSG00000152223	0.49	0.43
ENSG00000152229	0.24	0.04
ENSG00000152234	15.46	13.89
ENSG00000152240	1.74	0.05
ENSG00000152242	0.60	1.07
ENSG00000152253	0.00	0.00
ENSG00000152254	0.00	0.00
ENSG00000152256	0.38	0.17
ENSG00000152266	0.00	0.00
ENSG00000152270	2.22	0.31
ENSG00000152284	0.08	0.01
ENSG00000152291	2.27	4.08
ENSG00000152292	0.00	0.00
ENSG00000152315	0.00	0.00
ENSG00000152332	0.97	0.60
ENSG00000152348	0.37	0.37
ENSG00000152359	0.20	0.07
ENSG00000152377	1.56	0.35
ENSG00000152380	0.09	0.33
ENSG00000152382	0.46	0.12
ENSG00000152402	0.08	0.17
ENSG00000152404	0.80	0.87
ENSG00000152409	0.94	0.35
ENSG00000152413	0.87	0.06
ENSG00000152422	0.16	0.01
ENSG00000152430	0.00	0.00
ENSG00000152433	0.10	0.00
ENSG00000152439	0.54	0.01
ENSG00000152443	0.34	0.86
ENSG00000152454	0.12	0.02
ENSG00000152455	0.18	1.12
ENSG00000152457	0.50	0.25
ENSG00000152463	0.02	0.00
ENSG00000152464	0.60	0.10
ENSG00000152465	0.45	0.29
ENSG00000152467	0.00	0.00
ENSG00000152475	0.04	0.05
ENSG00000152484	2.57	1.17
ENSG00000152492	2.28	3.70
ENSG00000152495	0.10	0.01
ENSG00000152503	0.03	0.14
ENSG00000152518	1.83	2.06
ENSG00000152520	1.11	0.95
ENSG00000152527	0.99	1.25
ENSG00000152556	1.91	1.30
ENSG00000152558	5.67	0.98
ENSG00000152578	0.07	0.04
ENSG00000152580	0.05	0.00
ENSG00000152582	0.10	0.23
ENSG00000152583	30.85	15.93
ENSG00000152591	0.00	0.00
ENSG00000152592	0.00	0.00
ENSG00000152595	0.00	0.00
ENSG00000152601	19.77	7.46
ENSG00000152611	0.00	0.00
ENSG00000152620	1.16	2.96
ENSG00000152642	1.30	1.77
ENSG00000152661	0.41	1.09
ENSG00000152669	0.00	0.73
ENSG00000152670	0.00	0.00
ENSG00000152672	0.00	0.00
ENSG00000152683	0.50	0.18
ENSG00000152684	1.04	0.68
ENSG00000152689	0.11	0.30
ENSG00000152700	1.04	0.43
ENSG00000152705	0.00	0.00
ENSG00000152749	0.19	0.05
ENSG00000152760	0.01	0.03
ENSG00000152763	0.34	0.21
ENSG00000152766	0.00	0.31
ENSG00000152767	0.94	2.88
ENSG00000152778	0.68	0.35
ENSG00000152779	0.08	0.07
ENSG00000152782	0.12	0.04
ENSG00000152784	0.44	0.09
ENSG00000152785	1.78	0.15
ENSG00000152795	5.01	3.03
ENSG00000152804	0.17	0.15
ENSG00000152818	4.02	4.91
ENSG00000152822	0.01	0.00
ENSG00000152894	1.31	1.66
ENSG00000152904	0.99	0.22
ENSG00000152910	0.01	0.00
ENSG00000152926	0.23	0.35
ENSG00000152932	0.08	0.00
ENSG00000152936	0.02	0.00
ENSG00000152939	0.01	0.58
ENSG00000152942	0.72	0.69
ENSG00000152944	1.80	0.93
ENSG00000152952	2.25	1.11
ENSG00000152953	0.07	0.04
ENSG00000152954	0.15	0.00
ENSG00000152969	0.12	0.24
ENSG00000152977	0.00	0.00
ENSG00000152990	2.02	1.06
ENSG00000153002	0.00	0.00
ENSG00000153006	0.39	0.11
ENSG00000153012	0.07	0.00
ENSG00000153015	0.57	0.13
ENSG00000153029	0.29	0.26
ENSG00000153037	0.99	0.11
ENSG00000153044	0.06	0.01
ENSG00000153046	2.32	0.30
ENSG00000153048	0.90	1.76
ENSG00000153060	0.00	0.01
ENSG00000153064	0.04	0.29
ENSG00000153066	0.73	0.55
ENSG00000153071	1.74	0.77
ENSG00000153086	0.00	0.00
ENSG00000153093	0.00	0.01
ENSG00000153094	0.85	0.56
ENSG00000153107	1.18	4.50
ENSG00000153113	6.89	6.76
ENSG00000153130	2.07	0.86
ENSG00000153132	0.08	0.01
ENSG00000153140	0.37	0.04
ENSG00000153147	1.31	0.64
ENSG00000153157	0.02	0.00
ENSG00000153162	0.08	0.02
ENSG00000153165	0.01	0.00
ENSG00000153179	6.59	2.45
ENSG00000153187	5.49	4.71
ENSG00000153201	1.73	1.85
ENSG00000153207	1.94	1.47
ENSG00000153208	0.67	0.39
ENSG00000153214	0.93	3.40
ENSG00000153230	0.00	0.00
ENSG00000153233	0.09	0.00
ENSG00000153234	0.05	0.31
ENSG00000153237	0.01	0.00
ENSG00000153246	0.31	0.03
ENSG00000153250	1.94	0.63
ENSG00000153253	0.13	0.28
ENSG00000153266	0.00	0.00
ENSG00000153283	0.00	0.13
ENSG00000153291	0.71	0.66
ENSG00000153292	0.00	0.00
ENSG00000153294	0.00	0.00
ENSG00000153303	0.01	0.92
ENSG00000153310	0.95	0.76
ENSG00000153317	0.46	0.17
ENSG00000153339	1.32	0.75
ENSG00000153347	0.00	0.00
ENSG00000153391	0.12	0.25
ENSG00000153395	0.68	0.39
ENSG00000153404	0.01	0.11
ENSG00000153406	1.46	2.17
ENSG00000153443	0.45	1.73
ENSG00000153446	0.44	0.17
ENSG00000153485	0.36	0.02
ENSG00000153487	0.62	0.21
ENSG00000153495	0.06	0.00
ENSG00000153498	0.00	0.00
ENSG00000153531	0.12	0.04
ENSG00000153551	0.20	0.07
ENSG00000153558	0.29	0.21
ENSG00000153560	1.88	1.99
ENSG00000153561	1.67	2.49
ENSG00000153563	0.01	0.14
ENSG00000153574	0.17	1.53
ENSG00000153684	0.00	0.00
ENSG00000153707	0.20	0.01
ENSG00000153714	0.50	0.68
ENSG00000153721	0.38	0.12
ENSG00000153767	0.34	0.10
ENSG00000153774	1.41	2.03
ENSG00000153779	0.00	0.00
ENSG00000153786	1.75	1.30
ENSG00000153789	0.00	1.21
ENSG00000153790	0.05	0.01
ENSG00000153802	0.00	0.00
ENSG00000153814	1.31	0.32
ENSG00000153815	0.36	0.59
ENSG00000153820	0.02	0.00
ENSG00000153822	0.00	0.66
ENSG00000153823	1.90	0.25
ENSG00000153827	4.74	3.22
ENSG00000153832	0.08	0.27
ENSG00000153879	0.67	0.32
ENSG00000153885	1.50	0.37
ENSG00000153896	0.20	0.15
ENSG00000153898	0.03	0.00
ENSG00000153902	1.32	0.64
ENSG00000153904	0.37	0.89
ENSG00000153914	1.79	2.40
ENSG00000153922	1.07	2.62
ENSG00000153930	0.01	0.01
ENSG00000153933	0.58	0.30
ENSG00000153936	0.36	0.04
ENSG00000153944	0.58	0.70
ENSG00000153956	2.23	0.65
ENSG00000153975	0.25	0.30
ENSG00000153976	0.05	0.00
ENSG00000153982	0.08	0.00
ENSG00000153989	0.88	0.55
ENSG00000153993	0.08	0.07
ENSG00000154001	0.74	0.70
ENSG00000154007	0.00	0.00
ENSG00000154016	0.27	0.03
ENSG00000154025	0.00	0.00
ENSG00000154027	0.17	0.03
ENSG00000154040	0.03	0.00
ENSG00000154059	0.60	0.16
ENSG00000154065	0.17	3.36
ENSG00000154079	0.31	0.21
ENSG00000154080	0.03	0.05
ENSG00000154096	2.35	0.06
ENSG00000154099	0.02	0.14
ENSG00000154102	0.04	0.01
ENSG00000154114	1.32	0.36
ENSG00000154118	0.03	0.03
ENSG00000154122	0.45	0.08
ENSG00000154124	0.74	0.99
ENSG00000154127	0.06	0.36
ENSG00000154133	0.36	1.12
ENSG00000154134	0.28	0.00
ENSG00000154143	0.00	0.00
ENSG00000154144	0.73	2.51
ENSG00000154146	0.03	0.00
ENSG00000154153	0.41	0.60
ENSG00000154162	0.00	0.00
ENSG00000154165	0.00	0.00
ENSG00000154174	1.55	0.83
ENSG00000154175	2.22	5.65
ENSG00000154188	0.56	0.21
ENSG00000154217	0.10	0.39
ENSG00000154222	0.57	0.64
ENSG00000154227	0.00	0.00
ENSG00000154229	1.36	0.92
ENSG00000154237	0.20	0.19
ENSG00000154240	0.48	2.42
ENSG00000154252	0.00	0.00
ENSG00000154258	1.01	0.68
ENSG00000154262	1.67	0.56
ENSG00000154263	0.26	0.07
ENSG00000154265	0.54	1.30
ENSG00000154269	0.03	0.01
ENSG00000154274	0.01	0.48
ENSG00000154277	6.97	0.29
ENSG00000154305	1.02	0.56
ENSG00000154309	0.48	0.11
ENSG00000154310	0.39	0.91
ENSG00000154319	0.00	0.08
ENSG00000154328	0.28	0.04
ENSG00000154330	17.70	2.78
ENSG00000154342	0.00	0.00
ENSG00000154358	0.28	0.48
ENSG00000154359	0.91	1.77
ENSG00000154370	0.56	0.16
ENSG00000154380	2.96	4.01
ENSG00000154415	0.00	0.00
ENSG00000154429	0.17	0.02
ENSG00000154438	0.00	0.00
ENSG00000154447	0.23	0.66
ENSG00000154451	0.04	0.00
ENSG00000154473	2.90	1.16
ENSG00000154478	0.00	0.00
ENSG00000154479	0.00	0.00
ENSG00000154485	0.00	0.01
ENSG00000154493	0.03	0.00
ENSG00000154511	0.72	0.27
ENSG00000154518	6.56	2.63
ENSG00000154529	0.74	0.24
ENSG00000154545	0.32	0.28
ENSG00000154548	0.03	0.00
ENSG00000154553	23.03	15.73
ENSG00000154556	23.73	20.83
ENSG00000154582	1.04	1.05
ENSG00000154589	0.46	0.66
ENSG00000154611	0.00	0.00
ENSG00000154620	0.08	0.00
ENSG00000154639	0.07	1.06
ENSG00000154640	3.25	0.34
ENSG00000154642	0.29	1.15
ENSG00000154645	0.23	0.03
ENSG00000154646	0.00	0.00
ENSG00000154654	0.23	0.01
ENSG00000154655	0.17	0.47
ENSG00000154678	0.32	0.11
ENSG00000154710	1.05	1.39
ENSG00000154719	0.53	1.47
ENSG00000154721	0.55	0.08
ENSG00000154723	6.66	2.38
ENSG00000154727	0.92	0.17
ENSG00000154734	1.92	2.49
ENSG00000154736	0.57	0.15
ENSG00000154743	0.46	0.29
ENSG00000154760	0.31	0.56
ENSG00000154764	0.00	0.00
ENSG00000154767	0.88	0.93
ENSG00000154781	0.50	0.19
ENSG00000154783	0.22	0.42
ENSG00000154803	1.39	8.49
ENSG00000154813	0.77	0.44
ENSG00000154814	0.49	1.15
ENSG00000154822	0.33	0.54
ENSG00000154832	0.97	2.53
ENSG00000154839	0.00	0.01
ENSG00000154845	4.55	8.37
ENSG00000154856	1.18	3.18
ENSG00000154864	0.68	0.02
ENSG00000154889	0.46	1.01
ENSG00000154914	0.00	0.03
ENSG00000154917	0.12	0.02
ENSG00000154920	0.01	0.09
ENSG00000154928	0.10	0.03
ENSG00000154930	0.77	3.03
ENSG00000154945	2.15	0.82
ENSG00000154957	0.18	0.16
ENSG00000154975	0.08	0.00
ENSG00000154978	0.75	0.44
ENSG00000154997	0.00	0.00
ENSG00000155008	0.27	0.59
ENSG00000155011	0.11	0.00
ENSG00000155016	0.45	0.08
ENSG00000155026	0.01	0.00
ENSG00000155034	0.12	0.52
ENSG00000155052	0.07	0.00
ENSG00000155066	0.03	0.75
ENSG00000155085	0.41	0.15
ENSG00000155087	0.00	0.00
ENSG00000155090	1.10	1.39
ENSG00000155093	0.19	1.30
ENSG00000155096	2.38	2.34
ENSG00000155097	1.15	0.21
ENSG00000155099	1.65	2.33
ENSG00000155100	0.35	0.81
ENSG00000155111	0.50	0.30
ENSG00000155115	1.68	0.35
ENSG00000155158	0.38	0.44
ENSG00000155189	0.34	0.17
ENSG00000155229	1.61	3.29
ENSG00000155249	0.00	0.00
ENSG00000155252	0.38	0.24
ENSG00000155254	0.57	0.47
ENSG00000155256	0.25	0.16
ENSG00000155265	0.02	0.01
ENSG00000155269	0.00	0.00
ENSG00000155275	0.54	0.89
ENSG00000155287	0.72	1.38
ENSG00000155304	0.66	0.35
ENSG00000155307	0.13	0.48
ENSG00000155313	1.47	0.70
ENSG00000155324	1.29	1.56
ENSG00000155329	0.50	0.11
ENSG00000155330	0.29	0.03
ENSG00000155363	0.52	1.97
ENSG00000155366	5.08	2.57
ENSG00000155367	0.01	0.00
ENSG00000155368	2.60	0.52
ENSG00000155380	2.02	0.74
ENSG00000155393	0.40	1.02
ENSG00000155428	0.01	0.00
ENSG00000155438	0.77	1.30
ENSG00000155463	3.05	1.58
ENSG00000155465	0.67	0.17
ENSG00000155495	0.00	0.00
ENSG00000155506	1.34	4.65
ENSG00000155508	2.27	1.34
ENSG00000155511	0.01	0.00
ENSG00000155530	0.02	0.00
ENSG00000155542	0.86	0.21
ENSG00000155545	1.30	0.69
ENSG00000155561	1.05	1.43
ENSG00000155592	0.11	0.01
ENSG00000155621	0.35	0.05
ENSG00000155622	0.00	0.00
ENSG00000155629	0.37	0.00
ENSG00000155636	0.45	0.85
ENSG00000155640	0.21	0.36
ENSG00000155657	0.34	0.13
ENSG00000155659	6.00	0.42
ENSG00000155660	1.01	4.16
ENSG00000155666	0.10	0.07
ENSG00000155714	0.00	0.00
ENSG00000155719	0.00	0.00
ENSG00000155729	0.75	0.32
ENSG00000155744	0.38	0.33
ENSG00000155749	0.03	0.00
ENSG00000155754	0.02	0.00
ENSG00000155755	0.49	0.31
ENSG00000155760	1.31	0.18
ENSG00000155761	0.00	0.00
ENSG00000155792	2.01	2.95
ENSG00000155816	0.29	0.00
ENSG00000155827	0.78	0.69
ENSG00000155833	0.00	0.00
ENSG00000155846	0.35	0.71
ENSG00000155849	1.13	0.36
ENSG00000155850	0.34	0.08
ENSG00000155858	0.34	0.19
ENSG00000155868	0.31	0.10
ENSG00000155875	0.00	0.00
ENSG00000155876	1.59	1.52
ENSG00000155886	0.01	0.00
ENSG00000155890	0.00	0.00
ENSG00000155893	0.16	0.04
ENSG00000155897	0.00	0.00
ENSG00000155903	0.38	0.14
ENSG00000155906	0.47	0.33
ENSG00000155918	0.00	0.00
ENSG00000155926	0.56	0.76
ENSG00000155957	4.62	1.77
ENSG00000155959	1.56	0.20
ENSG00000155961	0.02	0.00
ENSG00000155962	0.59	0.08
ENSG00000155966	0.03	0.00
ENSG00000155970	0.71	0.93
ENSG00000155974	0.35	0.18
ENSG00000155975	1.50	2.35
ENSG00000155980	0.22	0.03
ENSG00000156006	0.00	0.00
ENSG00000156009	0.00	0.00
ENSG00000156011	0.47	0.88
ENSG00000156017	0.36	0.07
ENSG00000156026	0.51	0.76
ENSG00000156030	0.82	1.19
ENSG00000156042	0.04	0.03
ENSG00000156049	0.14	0.28
ENSG00000156050	0.12	0.12
ENSG00000156052	1.60	0.87
ENSG00000156076	0.00	0.08
ENSG00000156096	0.01	0.00
ENSG00000156097	0.01	0.00
ENSG00000156103	0.09	0.01
ENSG00000156110	0.71	1.48
ENSG00000156113	5.62	2.45
ENSG00000156127	0.14	0.01
ENSG00000156136	0.52	0.36
ENSG00000156140	0.03	0.02
ENSG00000156150	0.00	0.00
ENSG00000156162	0.56	0.59
ENSG00000156170	0.49	0.60
ENSG00000156171	1.47	9.44
ENSG00000156172	0.10	0.01
ENSG00000156194	0.00	0.00
ENSG00000156206	0.00	0.00
ENSG00000156218	1.02	0.17
ENSG00000156219	0.18	0.01
ENSG00000156222	0.00	0.00
ENSG00000156232	0.23	0.14
ENSG00000156234	0.00	0.00
ENSG00000156239	0.19	0.24
ENSG00000156253	0.54	0.48
ENSG00000156256	1.51	1.22
ENSG00000156261	2.54	2.39
ENSG00000156265	0.13	0.43
ENSG00000156269	0.00	0.00
ENSG00000156273	2.40	0.76
ENSG00000156282	0.00	0.00
ENSG00000156284	0.02	0.02
ENSG00000156298	0.59	0.01
ENSG00000156299	0.31	0.04
ENSG00000156304	0.28	0.12
ENSG00000156313	0.30	0.03
ENSG00000156345	0.15	0.13
ENSG00000156374	0.51	1.01
ENSG00000156381	0.45	0.69
ENSG00000156384	0.39	0.03
ENSG00000156395	0.03	0.00
ENSG00000156398	0.06	0.41
ENSG00000156411	4.79	1.43
ENSG00000156413	0.00	0.00
ENSG00000156414	0.09	0.03
ENSG00000156427	0.00	0.00
ENSG00000156453	0.38	0.79
ENSG00000156463	0.04	1.06
ENSG00000156466	0.03	0.00
ENSG00000156467	2.50	0.98
ENSG00000156469	0.48	0.07
ENSG00000156471	1.88	0.66
ENSG00000156475	0.55	0.00
ENSG00000156482	82.64	20.36
ENSG00000156486	0.00	0.00
ENSG00000156500	0.12	0.08
ENSG00000156502	0.73	1.25
ENSG00000156504	0.40	1.40
ENSG00000156508	435.28	166.91
ENSG00000156509	0.00	0.00
ENSG00000156510	0.00	0.13
ENSG00000156515	1.91	1.21
ENSG00000156521	0.29	0.07
ENSG00000156531	0.37	0.60
ENSG00000156535	0.90	0.02
ENSG00000156564	0.00	0.00
ENSG00000156574	0.00	0.00
ENSG00000156575	0.00	0.00
ENSG00000156587	1.00	0.05
ENSG00000156599	0.71	1.64
ENSG00000156603	0.34	0.66
ENSG00000156639	1.17	0.81
ENSG00000156642	7.95	4.13
ENSG00000156650	0.71	1.20
ENSG00000156671	0.86	0.66
ENSG00000156675	0.35	0.98
ENSG00000156687	0.06	0.00
ENSG00000156689	0.00	0.00
ENSG00000156697	0.51	0.18
ENSG00000156709	0.42	0.63
ENSG00000156711	0.05	0.49
ENSG00000156735	0.61	0.10
ENSG00000156738	0.00	0.02
ENSG00000156787	0.54	0.36
ENSG00000156795	0.51	0.43
ENSG00000156802	0.14	2.09
ENSG00000156804	22.26	3.57
ENSG00000156831	1.70	0.90
ENSG00000156853	0.27	0.16
ENSG00000156858	1.05	2.76
ENSG00000156860	0.35	0.70
ENSG00000156869	0.10	0.09
ENSG00000156873	0.62	1.05
ENSG00000156875	2.04	0.70
ENSG00000156876	0.20	0.07
ENSG00000156885	0.00	0.00
ENSG00000156886	0.00	0.00
ENSG00000156920	0.00	0.00
ENSG00000156925	0.00	0.00
ENSG00000156928	1.64	1.79
ENSG00000156931	0.97	0.79
ENSG00000156958	1.29	3.34
ENSG00000156959	0.01	0.00
ENSG00000156966	0.10	0.44
ENSG00000156968	0.39	0.07
ENSG00000156970	0.01	0.04
ENSG00000156973	0.63	0.49
ENSG00000156976	22.64	23.75
ENSG00000156983	0.41	1.21
ENSG00000156990	1.39	1.42
ENSG00000157005	0.03	0.03
ENSG00000157014	0.37	0.84
ENSG00000157017	0.02	2.03
ENSG00000157020	1.67	2.02
ENSG00000157036	0.43	0.91
ENSG00000157045	2.01	1.31
ENSG00000157060	0.00	0.00
ENSG00000157064	0.14	0.01
ENSG00000157077	0.84	0.61
ENSG00000157087	0.01	0.00
ENSG00000157093	0.00	0.00
ENSG00000157103	0.00	0.00
ENSG00000157106	2.10	2.47
ENSG00000157107	1.01	0.36
ENSG00000157110	5.97	5.13
ENSG00000157111	0.00	1.35
ENSG00000157119	0.00	0.00
ENSG00000157131	0.00	0.00
ENSG00000157150	0.70	0.08
ENSG00000157152	0.10	0.00
ENSG00000157168	0.11	0.00
ENSG00000157181	0.52	0.30
ENSG00000157184	0.27	0.10
ENSG00000157191	0.85	1.76
ENSG00000157193	0.03	0.60
ENSG00000157211	0.00	0.00
ENSG00000157212	0.23	0.54
ENSG00000157214	0.63	1.19
ENSG00000157216	1.09	0.20
ENSG00000157219	0.00	0.00
ENSG00000157224	0.85	0.21
ENSG00000157227	2.99	0.46
ENSG00000157240	0.51	0.24
ENSG00000157259	1.19	2.31
ENSG00000157303	0.16	0.10
ENSG00000157315	0.01	0.04
ENSG00000157322	0.00	0.08
ENSG00000157326	1.47	0.65
ENSG00000157330	0.00	0.00
ENSG00000157335	0.00	0.03
ENSG00000157343	0.03	0.00
ENSG00000157349	0.76	0.22
ENSG00000157350	0.54	0.40
ENSG00000157353	0.33	0.97
ENSG00000157368	0.15	0.01
ENSG00000157379	0.40	1.61
ENSG00000157388	0.06	0.15
ENSG00000157399	0.04	0.01
ENSG00000157404	1.38	0.78
ENSG00000157423	0.22	0.22
ENSG00000157426	0.21	1.30
ENSG00000157429	0.19	0.05
ENSG00000157445	0.13	1.21
ENSG00000157450	0.42	0.78
ENSG00000157456	0.01	0.00
ENSG00000157470	0.06	0.12
ENSG00000157483	0.90	0.75
ENSG00000157500	1.56	0.75
ENSG00000157502	0.01	0.01
ENSG00000157510	0.23	1.49
ENSG00000157514	12.05	6.82
ENSG00000157538	2.02	1.07
ENSG00000157540	2.17	0.96
ENSG00000157542	0.00	0.03
ENSG00000157551	0.00	0.87
ENSG00000157554	0.15	0.12
ENSG00000157557	0.96	0.87
ENSG00000157570	0.68	0.58
ENSG00000157578	0.03	0.00
ENSG00000157593	0.72	0.31
ENSG00000157600	0.42	0.11
ENSG00000157601	0.87	2.35
ENSG00000157613	0.04	1.51
ENSG00000157617	0.67	0.30
ENSG00000157625	0.59	0.63
ENSG00000157637	1.32	3.15
ENSG00000157653	0.01	0.00
ENSG00000157654	0.08	0.03
ENSG00000157657	0.08	0.30
ENSG00000157680	0.04	0.00
ENSG00000157693	0.30	0.10
ENSG00000157703	0.01	0.00
ENSG00000157734	0.00	0.93
ENSG00000157741	0.42	0.31
ENSG00000157764	1.50	0.99
ENSG00000157765	0.00	0.80
ENSG00000157766	0.01	0.00
ENSG00000157778	1.27	0.11
ENSG00000157782	0.02	0.00
ENSG00000157796	1.41	2.31
ENSG00000157800	1.53	2.05
ENSG00000157823	1.07	0.39
ENSG00000157827	0.69	2.25
ENSG00000157833	0.05	0.00
ENSG00000157837	0.48	0.60
