File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF356BMV	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF356LFX/, /files/ENCFF230HDI/	209289	ENCODE Processing Pipeline	a7da1ddbb0f9ded376dbec4d7cdfa547		https://www.encodeproject.org/files/ENCFF356BMV/@@download/ENCFF356BMV.bed.gz				released	s3://encode-public/2020/09/23/e244f326-9962-4c81-9951-0166ec3bcf3e/ENCFF356BMV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/e244f326-9962-4c81-9951-0166ec3bcf3e/ENCFF356BMV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF410VXJ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF356BMV/	615110	ENCODE Processing Pipeline	245f6059fa89cb6d40118a8cc2ab5c6e		https://www.encodeproject.org/files/ENCFF410VXJ/@@download/ENCFF410VXJ.bigBed				released	s3://encode-public/2020/09/23/ced39344-8945-4e3c-99c8-9052aee18ef3/ENCFF410VXJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/ced39344-8945-4e3c-99c8-9052aee18ef3/ENCFF410VXJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF149ODX	bigWig	bigWig		signal p-value	GRCh38	ENCSR775LGE	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF053HVD/, /files/ENCFF076ONX/	1606367693	ENCODE Processing Pipeline	61355bca04b5024ffe9fcb6f4466c009		https://www.encodeproject.org/files/ENCFF149ODX/@@download/ENCFF149ODX.bigWig				released	s3://encode-public/2020/09/21/e0ffc646-7eb2-4520-b697-c4545c5c3515/ENCFF149ODX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/e0ffc646-7eb2-4520-b697-c4545c5c3515/ENCFF149ODX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF184JAS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR775LGE	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF053HVD/, /files/ENCFF356LFX/, /files/ENCFF076ONX/	2336667	ENCODE Processing Pipeline	45b452fb159dd7846cb1fc586c823cae		https://www.encodeproject.org/files/ENCFF184JAS/@@download/ENCFF184JAS.bed.gz				released	s3://encode-public/2020/09/21/a8934d06-2ee2-45ee-9248-5ae0a1c608e8/ENCFF184JAS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/a8934d06-2ee2-45ee-9248-5ae0a1c608e8/ENCFF184JAS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF724ZOF	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR775LGE	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me1-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF184JAS/	4755854	ENCODE Processing Pipeline	c87fefbf41de3d291fa1d340a26627f5		https://www.encodeproject.org/files/ENCFF724ZOF/@@download/ENCFF724ZOF.bigBed				released	s3://encode-public/2020/09/21/5ebf0d86-964b-4cc9-8dbe-f4cebee435c0/ENCFF724ZOF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/5ebf0d86-964b-4cc9-8dbe-f4cebee435c0/ENCFF724ZOF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF547YHI	bigWig	bigWig		signal p-value	GRCh38	ENCSR063HOI	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF946MPF/	1264948057	ENCODE Processing Pipeline	07500a5101eac4800e7589f0ae1d0fdf		https://www.encodeproject.org/files/ENCFF547YHI/@@download/ENCFF547YHI.bigWig				released	s3://encode-public/2020/09/22/6585e885-58b0-464f-83c3-a38267251a65/ENCFF547YHI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/6585e885-58b0-464f-83c3-a38267251a65/ENCFF547YHI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF797XVL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR063HOI	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF356LFX/, /files/ENCFF946MPF/	742484	ENCODE Processing Pipeline	ac336f1805f1e0a4bf3fb6744cc752ce		https://www.encodeproject.org/files/ENCFF797XVL/@@download/ENCFF797XVL.bed.gz				released	s3://encode-public/2020/09/22/59ec5af9-76ca-45be-9e3e-2dcf7a291be5/ENCFF797XVL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/59ec5af9-76ca-45be-9e3e-2dcf7a291be5/ENCFF797XVL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF502IJF	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR063HOI	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K4me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF797XVL/	1814551	ENCODE Processing Pipeline	5bc86b0fd855e94bc2dc25b688e7d4ea		https://www.encodeproject.org/files/ENCFF502IJF/@@download/ENCFF502IJF.bigBed				released	s3://encode-public/2020/09/22/f7d94c04-02b2-4069-8b8b-d00f25c3083f/ENCFF502IJF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/f7d94c04-02b2-4069-8b8b-d00f25c3083f/ENCFF502IJF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking		
ENCFF550CSC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR774NRD	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K9me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF662QPM/, /files/ENCFF076ONX/, /files/ENCFF356LFX/	303133	ENCODE Processing Pipeline	490c7ba63302397c2e45accfadea1ed2		https://www.encodeproject.org/files/ENCFF550CSC/@@download/ENCFF550CSC.bed.gz				released	s3://encode-public/2020/09/21/07b23d1b-e873-413d-bb4b-3ad028b9d53d/ENCFF550CSC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/07b23d1b-e873-413d-bb4b-3ad028b9d53d/ENCFF550CSC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF979IGD	bigWig	bigWig		signal p-value	GRCh38	ENCSR774NRD	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K9me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF662QPM/, /files/ENCFF076ONX/	1661245515	ENCODE Processing Pipeline	d0dbd0442eec8a5a7c5bc8fbea157ef8		https://www.encodeproject.org/files/ENCFF979IGD/@@download/ENCFF979IGD.bigWig				released	s3://encode-public/2020/09/21/426e0c96-8d7d-4c93-9fbf-b314b96031bc/ENCFF979IGD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/426e0c96-8d7d-4c93-9fbf-b314b96031bc/ENCFF979IGD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF340DYP	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR774NRD	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K9me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF550CSC/	855168	ENCODE Processing Pipeline	fa0d4f99939a564ec99429087796fcf3		https://www.encodeproject.org/files/ENCFF340DYP/@@download/ENCFF340DYP.bigBed				released	s3://encode-public/2020/09/21/ed781556-efeb-4a1b-be03-2c94b2ea2a3c/ENCFF340DYP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/ed781556-efeb-4a1b-be03-2c94b2ea2a3c/ENCFF340DYP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF977LBD	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR204OJS	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF736SWI/	2978365	ENCODE Processing Pipeline	be29636550527e36c4755ea036531e75		https://www.encodeproject.org/files/ENCFF977LBD/@@download/ENCFF977LBD.bigBed				released	s3://encode-public/2020/09/24/ccedd6a3-f35d-4bdc-b1b6-bc22b11d67d7/ENCFF977LBD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/ccedd6a3-f35d-4bdc-b1b6-bc22b11d67d7/ENCFF977LBD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF430NDH	bigWig	bigWig		signal p-value	GRCh38	ENCSR204OJS	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF781VZS/, /files/ENCFF829IOW/	1387085180	ENCODE Processing Pipeline	658ff6bf4997aac54220b24a7665e765		https://www.encodeproject.org/files/ENCFF430NDH/@@download/ENCFF430NDH.bigWig				released	s3://encode-public/2020/09/24/cae62ede-37cd-4e97-bed5-1c81b45d966c/ENCFF430NDH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/cae62ede-37cd-4e97-bed5-1c81b45d966c/ENCFF430NDH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF736SWI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR204OJS	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF781VZS/, /files/ENCFF829IOW/	1453886	ENCODE Processing Pipeline	d4b233381574b2e8ee266c9d9211f2ea		https://www.encodeproject.org/files/ENCFF736SWI/@@download/ENCFF736SWI.bed.gz				released	s3://encode-public/2020/09/24/704105bd-f0bc-43eb-8c13-8fd24672ac7d/ENCFF736SWI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/704105bd-f0bc-43eb-8c13-8fd24672ac7d/ENCFF736SWI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF668DFB	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR172LVU	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF541NVY/	1695117	ENCODE Processing Pipeline	7a5be179e997510df7f88892f75b027a		https://www.encodeproject.org/files/ENCFF668DFB/@@download/ENCFF668DFB.bigBed				released	s3://encode-public/2020/09/22/bfdd33f2-0588-485d-baf0-b0b9e0312930/ENCFF668DFB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/bfdd33f2-0588-485d-baf0-b0b9e0312930/ENCFF668DFB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF505MXJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR172LVU	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K4me3-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF113NNR/, /files/ENCFF076ONX/	1200060994	ENCODE Processing Pipeline	59b3c1a966cb8de2994196c8a4f0b479		https://www.encodeproject.org/files/ENCFF505MXJ/@@download/ENCFF505MXJ.bigWig				released	s3://encode-public/2020/09/22/081141d9-1da5-41cf-9698-decca2dff7af/ENCFF505MXJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/22/081141d9-1da5-41cf-9698-decca2dff7af/ENCFF505MXJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
